"nama","kategori_usaha","kategori_grup","kecamatan","alamat","rating","rating_kategori","jumlah_ulasan","popularitas","skor_potensi","label_kelayakan","latitude","longitude","telepon","website","foto_url","keyword","tanggal"
"Penjahit Sukses","Tukang Jahit","Jasa Umum","Mariso","Jl. Sultan Alauddin Lr 6 No.2A, Pa'baeng-Baeng, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90211",4.6,"Sangat Baik",5,"Baru",64.4,"Layak",NA,NA,"0853-4239-9386",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGP8pnUKqsP3oAaAQgTLK9y-b3tWSQ0Grn4Djc8bdvC68-fiMVbaH1SZLY0yA2zx8GzYACThIKn5gfpe2uxpW5YB0AWAx0nDoXGrXLHOzpJM1FABIXnTawkD1smc6uUNwH-77QnbQ=w800-h600-k-no","jasa jahit Mariso Makassar","2026-05-05"
"Ekspedisi makassar jayapura sorong manokwari","Jasa pengiriman mobil","Jasa Umum","Mariso","Jl. Abd. Kadir No.34, Balang Baru, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",5,"Sangat Baik",1,"Baru",64,"Layak",-5.1811359,119.4160311,"0821-8819-0100","amm-express.com","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1JUgM5aevdQnZ_zKNEM86E1JG74fwdLYQeewaasMnCu3gsxARB3fAC_51k95EIoqKyrJS7q_FkLzi-6WIfrwJZQXvpRt0aWEzHKBhAo-3cm3Y7rZpMfj2cEEVSLJYvNaCmp-_NA=w800-h600-k-no","ekspedisi pengiriman Mariso Makassar","2026-05-05"
"Expedisi putra makassar cargo","Jasa Pengiriman Kargo","Jasa Umum","Mariso","komlen BTN CV dewi, Jl. Abdullah Daeng Sirua, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",5,"Sangat Baik",1,"Baru",64,"Layak",-5.1525367,119.452655,NA,NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeX8LzF5SN5TBcSmR78TRJU-D3uhcGxWOxtwBSWdktl5NYkA9Nm9yrAL9P0yKAooTHWBSOR0B3M_Jn1gGkBot1MqQVzXYs3Bvka85baU0yIofMUE0DFptcY1V-2CGX0ICdRwUc=w800-h600-k-no","ekspedisi pengiriman Mariso Makassar","2026-05-05"
"Febby DGMS Car Wash","Tempat Pencucian Mobil","Jasa Umum","Mariso","Jl. A. Mappanyukki No.73-85, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113",5,"Sangat Baik",1,"Baru",64,"Layak",-5.1545809,119.4147483,"0812-2222-5147",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHldSiQasDTfJhL9CbD13k8EbKeCep4GtCVkO8GvK-g-FpC-9GgNfmOb03NTtn7RzfhiHQWfjhfCF_zGZvt1V3ADxqNpjMdA9XKP4mHEKVqAXUDtWJk-cEGglMfn8mjHYlZ4k9J=w800-h600-k-no","cuci mobil Mariso Makassar","2026-05-05"
"Kantor Notaris Kasmaningsih K","Notaris","Jasa Umum","Mariso","Jl. A. Mappanyukki No.18, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125",5,"Sangat Baik",1,"Baru",64,"Layak",-5.153329,119.414885,"(0411) 852532",NA,"https://lh3.googleusercontent.com/proxy/uRTFUVKflb9nZ-XOwcltNLBaQNvjupYEXY9AbeUkAZcM8HjYRUSUGeHoPJnzdw3FWgAvj5v6Bo8Gv1drN9yyzWbxiLHdvJJ6KsbmfdpwYakdZB3j470uzub3Ky2Ld_RLUJLBYmEz5CwSYZ2dy4jG5F3R7lBN36svCCZY6f4ezTkr=w800-h600-k-no","notaris Mariso Makassar","2026-05-05"
"Notaris Andi. S Paula Salahuddin, Sh, Mkn","Notaris","Jasa Umum","Mariso","Jl. Lamaddukelleng No.82, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113",5,"Sangat Baik",1,"Baru",64,"Layak",-5.1480711,119.4108271,"(0411) 854324",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2bBDCq6qDTatfI6JMAbOF9E5OFhzgoe5OP7e_1r6Mf1eIHjhxqcLhCmMcu_dpi2CzWV3r3KfzwjItCxZyZk6CwDi5sXQDVSvea1oPOfu6HlEGBobVuKWBTRPd3jsprx_9ZOgi=w800-h600-k-no","notaris Mariso Makassar","2026-05-05"
"Rakhmawati Laica Marzuki. SH","Notaris","Jasa Umum","Mariso","Jl. Lamaddukelleng No.56, Losari, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90113",5,"Sangat Baik",1,"Baru",64,"Layak",-5.1463795,119.4108192,"(0411) 873813",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2bBDCq6qDTatfI6JMAbOF9E5OFhzgoe5OP7e_1r6Mf1eIHjhxqcLhCmMcu_dpi2CzWV3r3KfzwjItCxZyZk6CwDi5sXQDVSvea1oPOfu6HlEGBobVuKWBTRPd3jsprx_9ZOgi=w800-h600-k-no","notaris Mariso Makassar","2026-05-05"
"Service elektronik","Jasa Rental Alat Musik","Jasa Umum","Mariso","Jl. Baji Ateka No.16, Baji Mappakasunggu, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90123",5,"Sangat Baik",1,"Baru",64,"Layak",NA,NA,"0821-8773-0958",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAESvVi_94xKbif9fs2TCVGjwDa4rCqZ1JPEYnBsfZV3iI1Q0MJeP2dxJF__A6LyUwOcEMWHvgNSHIbv6C0KXFfr8pMpU0eVIMfH_hr3zNDSWD0zP1VM-KL9bosxZhWtAxC_5FGtPTtJKhet=w800-h600-k-no","jasa servis elektronik Mariso Makassar","2026-05-05"
"jasa servis ac,kulkas,mesin cuci","Jasa Tukang","Jasa Umum","Mariso","VF24+282, Jl. Abdullah Daeng Sirua Jl. HJ. Saripa Raya, Antang, Raya, Kota Makassar, Sulawesi Selatan 90231",5,"Sangat Baik",1,"Baru",64,"Layak",-5.1499937,119.4557601,NA,NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHoXjiOoLzkZ_prIWGgYpQvBhp-2yevhdMzbvKucAd6perpffxGctJASuotBNc636oyBYWhc_1tq7jc7h4PDQaEJ8bcp8ac9IaY7_8RapUvAondbHPHzLLlmrmqwzB-8BGZU5qRKA=w800-h600-k-no","jasa cuci ac Mariso Makassar","2026-05-05"
"Cuci Motor Paasar Senggol","Tempat Pencucian Mobil","Jasa Umum","Mariso","Jl. Opu Daeng Risadju No.197/213, Pa'batong, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90122",4.1,"Baik",17,"Baru",63.2,"Layak",-5.164044,119.4125016,NA,NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGX-mihH6hW7v5xcrIO3omvrLdzsWboBj4hpOrCFvH-U-Jx0sMkSlXm5Uy9sDxfISf8-B0N_oteII6u2CvPKnAYFPxyLVDWzpVFReti3q5jya-vYbG4ARf388IgDlZaEXlUI6k=w800-h600-k-no","cuci motor Mariso Makassar","2026-05-05"
"Cuci Motor Rong","Tempat Pencucian Mobil","Jasa Umum","Mariso","Jl. S. Saddang III No.20-21, Maradekaya Sel., Kec. Makassar, Kota Makassar, Sulawesi Selatan 90145",4.2,"Baik",12,"Baru",62.9,"Layak",-5.1448537,119.4230487,NA,NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFB8dADwpGub6RNVAZGwGtKV65soWfUyM9-MwF1UBscyGrlHoUPhcZK9xWmhUBh4-TPPLC63r0QrVc4ghKfZNfj_2tG_iXCsBSaKZI_nwWK0OH4cJc969RnCcs4dCjMWaMkPLllfw=w800-h600-k-no","cuci motor Mariso Makassar","2026-05-05"
"mitraCare Multibrand Authorized Service Provider (Makassar)","Jasa Perbaikan Telepon","Jasa Umum","Mariso","Jl. Rappocini Raya No.41, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",4.8,"Sangat Baik",1.519,"Baru",62.3,"Layak",-5.153573,119.427425,"(0411) 8910452","mitracare.com","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGlI8_6kvLvKGzq_c6cL6-Cr9doFQZmDIymTUqypLxpLSTgCFau583os8FosV_znfVKdHhPYXX0RaKp25cpTvLTcmNJSlz28MPmGObUXDVBapT6eo_7cE6KelBdB8FVAC3ncBYOFo1HRJpV=w800-h600-k-no","jasa servis hp Mariso Makassar","2026-05-05"
"Pencucian Motor Rama & Rahma","Tempat Pencucian Mobil","Jasa Umum","Mariso","RCWG+JPQ, Jl. Rappocini Raya, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",4.4,"Baik",5,"Baru",61.4,"Layak",-5.1534222,119.4268708,"0852-5421-4825",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFB8dADwpGub6RNVAZGwGtKV65soWfUyM9-MwF1UBscyGrlHoUPhcZK9xWmhUBh4-TPPLC63r0QrVc4ghKfZNfj_2tG_iXCsBSaKZI_nwWK0OH4cJc969RnCcs4dCjMWaMkPLllfw=w800-h600-k-no","cuci motor Mariso Makassar","2026-05-05"
